node,degree,pagerank,betweenness
0,2,9.061163688181489e-06,0.0
1,140,0.00032692688093060224,0.0019393834097957176
2,2,9.061163688181489e-06,0.0
3,10,1.9998493880745962e-05,1.89223518493438e-06
4,16,2.676510565752013e-05,4.090435164698812e-06
5,124,0.00016770631188906958,0.00730626653065003
6,18,2.9245763205118582e-05,1.4960468632559429e-05
7,28,3.6125317998779216e-05,3.5785388408579195e-05
8,2,9.061163688181489e-06,0.0
9,78,0.00016711741434096285,0.005754716472625058
10,8,1.8392013224611482e-05,0.0
11,10,2.0537881045923274e-05,2.373399899979355e-06
12,10,2.0537881045923274e-05,2.373399899979355e-06
13,30,4.5997808601493556e-05,2.2161386521252037e-05
14,2,9.061163688181489e-06,0.0
15,12,2.321286028217931e-05,1.9508119234369536e-05
16,10,1.9564720177860006e-05,1.2327885392788539e-05
17,2,9.061163688181489e-06,0.0
18,10,2.1602218720679095e-05,4.9847937320882734e-05
19,6,2.085199817470132e-05,1.0549370456661561e-06
20,2,9.061163688181489e-06,0.0
21,8,1.7602613188795904e-05,1.663212670165001e-06
22,2,9.061163688181489e-06,0.0
23,2,9.061163688181489e-06,0.0
24,2,9.061163688181489e-06,0.0
25,4,1.0823584401111995e-05,7.191695203238969e-07
26,2,9.061163688181489e-06,0.0
27,156,0.00018002588615768572,0.006326482155781819
28,2,9.061163688181489e-06,0.0
29,2,9.061163688181489e-06,0.0
30,4,1.6495250280308228e-05,1.7041766783363893e-05
31,6,2.085199817470132e-05,1.0549370456661561e-06
32,4,1.6495250280308228e-05,1.7041766783363893e-05
33,2,9.061163688181489e-06,0.0
34,2,9.061163688181489e-06,0.0
35,6,1.95149909773207e-05,0.00022909018959438418
36,2,9.061163688181489e-06,0.0
37,2,9.061163688181489e-06,0.0
38,2,9.061163688181489e-06,0.0
39,36,7.087615962160539e-05,0.00031448169114748964
40,2,9.061163688181489e-06,0.0
41,6,1.95149909773207e-05,0.00022909018959438418
42,8,1.747981504553166e-05,4.7223174929775274e-05
43,2,9.061163688181489e-06,0.0
44,20,4.4132723983456766e-05,9.820083691777967e-05
45,50,9.16628421865749e-05,0.0012492354871345389
46,224,0.00031458511991012055,0.02966757072864043
47,2,9.061163688181489e-06,0.0
48,2,9.061163688181489e-06,0.0
