node,degree,pagerank,betweenness,degree_norm,pagerank_norm,betweenness_norm
0,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
1,70,0.00032692688093060224,0.002013358895540546,0.05061460592913955,0.02867016828001053,0.03244115192482609
2,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
3,5,1.9998493880745962e-05,1.4842168663031174e-06,0.0036153289949385392,0.0017537872177279192,2.3915112678508072e-05
4,8,2.676510565752013e-05,3.5365231253880655e-06,0.005784526391901663,0.002347191766700438,5.6983821538470736e-05
5,62,0.00016770631188906958,0.006344242500640187,0.04483007953723789,0.014707166843524869,0.10222446443456862
6,9,2.9245763205118582e-05,1.3848522547281126e-05,0.006507592190889371,0.0025647354239619006,0.00022314055625443215
7,14,3.6125317998779216e-05,3.43570855902064e-05,0.01012292118582791,0.003168044619780741,0.000553594014358228
8,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
9,39,0.00016711741434096285,0.007372982296869322,0.028199566160520606,0.014655522904807301,0.11880049769644957
10,4,1.8392013224611482e-05,0.0,0.0028922631959508315,0.0016129053464701863,0.0
11,5,2.0537881045923274e-05,2.420101160571387e-06,0.0036153289949385392,0.0018010892956411575,3.8994969847373255e-05
12,5,2.0537881045923274e-05,2.420101160571387e-06,0.0036153289949385392,0.0018010892956411575,3.8994969847373255e-05
13,15,4.5997808601493556e-05,2.302146945137417e-05,0.010845986984815618,0.0040338222093045766,0.0003709437943026347
14,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
15,6,2.321286028217931e-05,2.0155770219691756e-05,0.004338394793926247,0.002035674180893448,0.000324768924858453
16,5,1.9564720177860006e-05,8.676486192073212e-06,0.0036153289949385392,0.0017157470142983835,0.0001398037912436533
17,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
18,5,2.1602218720679095e-05,9.370872887372097e-05,0.0036153289949385392,0.0018944274150247452,0.0015099240959017075
19,3,2.085199817470132e-05,1.097569961417624e-06,0.0021691973969631237,0.0018286361003458217,1.768509029629069e-05
20,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
21,4,1.7602613188795904e-05,1.945229149805756e-06,0.0028922631959508315,0.0015436781486250412,3.134338071429946e-05
22,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
23,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
24,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
25,2,1.0823584401111995e-05,8.067545548358697e-07,0.0014461315979754157,0.0009491846778994267,1.2999196088409874e-05
26,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
27,78,0.00018002588615768572,0.006510701454745578,0.05639913232104121,0.01578754379635882,0.10490660929773311
28,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
29,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
30,2,1.6495250280308228e-05,1.1136043312690958e-05,0.0014461315979754157,0.0014465668898536255,0.00017943451301634841
31,3,2.085199817470132e-05,1.097569961417624e-06,0.0021691973969631237,0.0018286361003458217,1.768509029629069e-05
32,2,1.6495250280308228e-05,1.1136043312690958e-05,0.0014461315979754157,0.0014465668898536255,0.00017943451301634841
33,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
34,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
35,3,1.95149909773207e-05,0.00015467909258147478,0.0021691973969631237,0.0017113859640726149,0.002492336539274902
36,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
37,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
38,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
39,18,7.087615962160539e-05,0.0003434202903827726,0.013015184381778741,0.006215553207518778,0.0055335140888451975
40,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
41,3,1.95149909773207e-05,0.00015467909258147478,0.0021691973969631237,0.0017113859640726149,0.002492336539274902
42,4,1.747981504553166e-05,8.791240409818737e-06,0.0028922631959508315,0.0015329092469616565,0.00014165282025688228
43,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
44,10,4.4132723983456766e-05,9.466227168867782e-05,0.0072306579898770785,0.00387026181407686,0.0015252884839377194
45,25,9.16628421865749e-05,0.0011915250538069577,0.018076644974692697,0.008038461392445127,0.019198984035288035
46,112,0.00031458511991012055,0.028350231745051847,0.08098336948662328,0.027587845638563393,0.4568058765788649
47,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
48,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
49,10,2.6501104646339072e-05,3.2238673692454357e-06,0.0072306579898770785,0.0023240399432862585,5.194601486244278e-05
50,11,2.9645276710766515e-05,3.930590840557587e-06,0.007953723788864787,0.0025997711463364537,6.33334150683671e-05
51,7,2.5507601388012507e-05,5.750753153998127e-05,0.005061460592913955,0.0022369137164006576,0.0009266160005761823
52,3,1.95149909773207e-05,0.00015467909258147478,0.0021691973969631237,0.0017113859640726149,0.002492336539274902
53,111,0.0002331838471413001,0.001482598904446059,0.08026030368763558,0.020449282477755206,0.02388904253943368
54,102,0.000243769763161678,0.0009565342652344807,0.0737527114967462,0.02137762459767626,0.015412589125816275
55,16,4.138049806818394e-05,0.0003893311041738732,0.011569052783803326,0.003628902706771677,0.0062732727520862204
56,309,0.0006963725696013667,0.00682006113983227,0.22342733188720174,0.06106906443184948,0.10989130654447972
57,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
58,2,1.6495250280308228e-05,1.1136043312690958e-05,0.0014461315979754157,0.0014465668898536255,0.00017943451301634841
59,11,4.960503134615268e-05,0.000133529691360162,0.007953723788864787,0.004350161088562449,0.002151557287419011
60,12,6.733610437218155e-05,0.00109906485938209,0.008676789587852495,0.005905104646566518,0.017709177512973604
61,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
62,12,5.1687361928711734e-05,0.00021896254629226618,0.008676789587852495,0.0045327730782729345,0.0035281326373791167
63,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
64,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
65,4,2.589139593158809e-05,3.4548376390767175e-05,0.0028922631959508315,0.0022705709492288066,0.0005566762735304793
66,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
67,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
68,1,9.061163688181489e-06,0.0,0.0007230657989877079,0.0007946274928919948,0.0
69,6,2.7690311329930644e-05,0.00015728947754091953,0.004338394793926247,0.0024283285708877342,0.0025343975425263328
70,2,1.24049833419422e-05,7.069750674004892e-07,0.0014461315979754157,0.0010878669839318165,1.1391454161204492e-05
878,297,0.0007841315069677042,0.007389128280123873,0.21475054229934923,0.06876516912414578,0.11906065712301617
8552,4,1.514051278967699e-05,4.8065027043035745e-08,0.0028922631959508315,0.0013277618784055714,7.744693944173131e-07
74,293,0.0006033010801113112,0.004600682077949223,0.2118582791033984,0.05290707035490006,0.07413056190784323
910,125,0.000366535655293679,0.001676997630502668,0.09038322487346348,0.03214369796689924,0.027021379560897472
75,232,0.0004134246948476768,0.0017553437548178407,0.16775126536514823,0.036255677534546206,0.028283766772268175
86,125,0.00026735531432549043,0.0027093924193152498,0.09038322487346348,0.02344598226504972,0.043656305536812844
93,455,0.0008981459521080363,0.006069622701206167,0.3289949385394071,0.07876377590502787,0.09779952924058154
106,422,0.0008852799936884658,0.010298135623766797,0.3051337671728127,0.07763548326686145,0.16593334802506124
136,1026,0.0018715742548839737,0.020376865096810175,0.7418655097613883,0.16412951019298125,0.3283314156365682
140,1245,0.0030076300160099697,0.056418786361080664,0.9002169197396963,0.26375701636269167,0.9090731035624565
144,146,0.00028917602784075383,0.00105905315844135,0.10556760665220535,0.02535957079191454,0.01706447096221194
